"region","sector","Year","co2.emiss","scenario"
"MA","base load generation","1990",3.01978739,"NEWdac_netzero_usa_global_ssp2_highEV"
"MD","base load generation","1990",3.2529548,"NEWdac_netzero_usa_global_ssp2_highEV"
"ME","base load generation","1990",0.4260836,"NEWdac_netzero_usa_global_ssp2_highEV"
"MI","base load generation","1990",11.3215862,"NEWdac_netzero_usa_global_ssp2_highEV"
"MN","base load generation","1990",4.44883668,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","base load generation","1990",5.384503666,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","base load generation","1990",1.2043657,"NEWdac_netzero_usa_global_ssp2_highEV"
"MT","base load generation","1990",1.61986599,"NEWdac_netzero_usa_global_ssp2_highEV"
"NC","base load generation","1990",6.06691106,"NEWdac_netzero_usa_global_ssp2_highEV"
"ND","base load generation","1990",4.152765037108,"NEWdac_netzero_usa_global_ssp2_highEV"
"NE","base load generation","1990",2.00013677,"NEWdac_netzero_usa_global_ssp2_highEV"
"NH","base load generation","1990",0.9309295,"NEWdac_netzero_usa_global_ssp2_highEV"
"NJ","base load generation","1990",1.076537682,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","base load generation","1990",4.337349966,"NEWdac_netzero_usa_global_ssp2_highEV"
"NV","base load generation","1990",1.584876,"NEWdac_netzero_usa_global_ssp2_highEV"
"NY","base load generation","1990",7.983802,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","base load generation","1990",19.43064164,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","base load generation","1990",5.5811724,"NEWdac_netzero_usa_global_ssp2_highEV"
"OR","base load generation","1990",0.241749,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","base load generation","1990",14.694832,"NEWdac_netzero_usa_global_ssp2_highEV"
"RI","base load generation","1990",0.01770802,"NEWdac_netzero_usa_global_ssp2_highEV"
"SC","base load generation","1990",2.8497452,"NEWdac_netzero_usa_global_ssp2_highEV"
"SD","base load generation","1990",0.4494969354,"NEWdac_netzero_usa_global_ssp2_highEV"
"TN","base load generation","1990",6.147195173,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","base load generation","1990",32.19895911,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","base load generation","1990",3.065177,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","base load generation","1990",2.9473603,"NEWdac_netzero_usa_global_ssp2_highEV"
"VT","base load generation","1990",0.01407387965,"NEWdac_netzero_usa_global_ssp2_highEV"
"WA","base load generation","1990",0.8286755,"NEWdac_netzero_usa_global_ssp2_highEV"
"WI","base load generation","1990",3.76433182,"NEWdac_netzero_usa_global_ssp2_highEV"
"WV","base load generation","1990",12.42587281511,"NEWdac_netzero_usa_global_ssp2_highEV"
"WY","base load generation","1990",6.49447889314,"NEWdac_netzero_usa_global_ssp2_highEV"
"AL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AR","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"CA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"FL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"GA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"HI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"ID","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"IN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"KS","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"KY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"LA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"ME","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NC","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"ND","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NE","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NH","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NV","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"OR","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"RI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"SD","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"TN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"WY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AL","cement","1990",0.245891,"NEWdac_netzero_usa_global_ssp2_highEV"
"AR","cement","1990",0.0783017,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","cement","1990",0.35523,"NEWdac_netzero_usa_global_ssp2_highEV"
"CA","cement","1990",1.1583,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","cement","1990",0.215744,"NEWdac_netzero_usa_global_ssp2_highEV"
"CT","cement","1990",0.0766575,"NEWdac_netzero_usa_global_ssp2_highEV"
"FL","cement","1990",0.701497,"NEWdac_netzero_usa_global_ssp2_highEV"
"GA","cement","1990",0.307418,"NEWdac_netzero_usa_global_ssp2_highEV"
"IA","cement","1990",0.156345,"NEWdac_netzero_usa_global_ssp2_highEV"
"ID","cement","1990",0.0567759,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","cement","1990",0.391098,"NEWdac_netzero_usa_global_ssp2_highEV"
"IN","cement","1990",0.215089,"NEWdac_netzero_usa_global_ssp2_highEV"
"KS","cement","1990",0.125452,"NEWdac_netzero_usa_global_ssp2_highEV"
"KY","cement","1990",0.0998713,"NEWdac_netzero_usa_global_ssp2_highEV"
"LA","cement","1990",0.116218,"NEWdac_netzero_usa_global_ssp2_highEV"
"MA","cement","1990",0.0881206,"NEWdac_netzero_usa_global_ssp2_highEV"
"MD","cement","1990",0.159062,"NEWdac_netzero_usa_global_ssp2_highEV"
"MI","cement","1990",0.227933,"NEWdac_netzero_usa_global_ssp2_highEV"
"MN","cement","1990",0.168441,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","cement","1990",0.247148,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","cement","1990",0.0937435,"NEWdac_netzero_usa_global_ssp2_highEV"
"NC","cement","1990",0.252481,"NEWdac_netzero_usa_global_ssp2_highEV"
"NE","cement","1990",0.0685495,"NEWdac_netzero_usa_global_ssp2_highEV"
"NJ","cement","1990",0.209547,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","cement","1990",0.0607366,"NEWdac_netzero_usa_global_ssp2_highEV"
"NV","cement","1990",0.163772,"NEWdac_netzero_usa_global_ssp2_highEV"
"NY","cement","1990",0.319623,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","cement","1990",0.293729,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","cement","1990",0.135008,"NEWdac_netzero_usa_global_ssp2_highEV"
"OR","cement","1990",0.0978202,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","cement","1990",0.474541,"NEWdac_netzero_usa_global_ssp2_highEV"
"SC","cement","1990",0.225082,"NEWdac_netzero_usa_global_ssp2_highEV"
"SD","cement","1990",0.0421617,"NEWdac_netzero_usa_global_ssp2_highEV"
