final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,industrial energy use,electricity,0,0.0011531,0.0018555,0.0032111,9.96E-04,7.02E-04,0.001211098,0.001196493,0.001312039,0.001555031,0.001925005,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,industrial energy use,gas,0.2011929,0.2961326,0.2087604,0.2208806,0.219486862,0.214619331,0.217430986,0.22001998,0.224107902,0.22801552,0.235715381,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,industrial energy use,hydrogen,0,0,0,0,3.58E-06,4.48E-07,2.41E-05,1.24E-04,2.82E-04,5.25E-04,0.001133687,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,industrial energy use,refined liquids,0.0020014,0.0050382,0.00649041,0.0076162,0.005469078,0.005261331,0.005444048,0.006613026,0.007208531,0.00704666,0.007352197,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,industrial feedstocks,refined liquids,0.00345271,0.0027463,0.0359166,0.0416755,0.0405291,0.0395464,0.0402372,0.0410181,0.0420135,0.0428854,0.0447418,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid clothes dryers,electricity,1.76E-04,3.80E-04,2.56E-04,2.07E-04,2.01E-04,1.97E-04,2.07E-04,2.12E-04,2.25E-04,2.39E-04,2.53E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid clothes dryers,gas,5.65E-05,1.20E-04,5.67E-05,4.69E-05,4.37E-05,4.16E-05,4.07E-05,3.90E-05,4.10E-05,4.29E-05,4.57E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid clothes washers,electricity,0,5.26E-05,4.10E-05,3.06E-05,2.53E-05,2.19E-05,1.92E-05,1.57E-05,1.69E-05,1.80E-05,1.90E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid computers,electricity,0,9.77E-05,1.69E-04,1.16E-04,9.66E-05,7.81E-05,6.60E-05,5.61E-05,4.69E-05,4.91E-05,5.11E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid cooking,electricity,1.03E-04,1.53E-04,1.36E-04,1.10E-04,1.18E-04,1.32E-04,1.60E-04,1.83E-04,2.04E-04,2.14E-04,2.23E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid cooking,gas,1.92E-04,3.61E-04,2.45E-04,1.97E-04,1.84E-04,1.76E-04,1.67E-04,1.59E-04,1.49E-04,1.54E-04,1.61E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-26-5T23:05:31+20:00",AK,resid cooking,refined liquids,1.78E-05,4.59E-05,2.22E-04,1.37E-04,1.27E-04,1.21E-04,1.14E-04,1.16E-04,1.22E-04,1.30E-04,1.35E-04,0,0,0,EJ
