CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,coal (IGCC CCS) (dry cooling),coal_int_IGCC_CCS,0,0,0,0,0,0,1.82E-04,0.001040528,0.002176387,0.003579672,0.004637174,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,coal (IGCC CCS) (recirculating),coal_int_IGCC_CCS,0,0,0,0,0,0,1.93E-04,0.001110913,0.002329609,0.003837266,0.004982643,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,coal (IGCC CCS) (seawater),coal_int_IGCC_CCS,0,0,0,0,0,0,1.94E-04,0.001117128,0.002342862,0.003859406,0.005011702,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,coal (conv pul CCS) (dry cooling),coal_int_conv pul_CCS,0,0,0,0,0,0,2.13E-04,0.001163386,0.002369528,0.003817021,0.004860891,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,coal (conv pul CCS) (recirculating),coal_int_conv pul_CCS,0,0,0,0,0,0,2.28E-04,0.001251358,0.002555621,0.004120098,0.005262351,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,coal (conv pul CCS) (seawater),coal_int_conv pul_CCS,0,0,0,0,0,0,2.29E-04,0.00125843,0.002570174,0.004143724,0.005292725,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,intermediate generation,gas (CC CCS) (dry cooling),gas_int_CC_CCS,0,0,0,0,0,0,0.0019119,0.01035568,0.02124453,0.03440189,0.04458694,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,peak generation,gas (CC CCS) (dry cooling),gas_peak_CC_CCS,0,0,0,0,0,0,4.67E-07,2.03E-06,4.91E-06,8.86E-06,1.22E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AK,subpeak generation,gas (CC CCS) (dry cooling),gas_subpeak_CC_CCS,0,0,0,0,0,0,2.10E-05,9.99E-05,2.33E-04,4.10E-04,5.55E-04,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,CO2 removal,hightemp DAC NG,dac,0,0,0,0,0,3.32E-05,0.00112692,0.034601882,0.638492621,5.681161127,10.72989308,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,CO2 removal,hightemp DAC elec,dac,0,0,0,0,0,9.39E-08,3.79E-06,1.27E-04,0.00293705,0.035627931,0.062895131,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,CO2 removal,lowtemp DAC heatpump,dac,0,0,0,0,0,7.65E-08,5.93E-06,4.23E-04,0.020890416,0.507640381,2.07798509,0,0,0,MTC
