water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CT,industry,industry,industry,0.110715,0.0933496,0.0918162,0.249642,0.246923,0.248786,0.260183,0.273392,0.286758,0.296802,0.310624,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",CT,municipal water,municipal water,municipal water,0.580517,0.750652,0.680277,0.374062,0.367455,0.372925,0.387287,0.402221,0.419016,0.434613,0.449697,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",DC,industry,industry,industry,6.91E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",DE,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.13E-08,1.07E-06,3.33E-05,6.17E-04,0.005820867,0.011279083,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",DE,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.04E-10,3.93E-09,1.29E-07,2.71E-06,3.45E-05,5.54E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",DE,industry,industry,industry,0.0897577,0.0571261,0.132571,0.416696,0.421881,0.426519,0.442187,0.457431,0.473397,0.485348,0.505486,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",DE,municipal water,municipal water,municipal water,0.132184,0.141841,0.128316,0.139368,0.139287,0.142174,0.146483,0.150474,0.154403,0.157852,0.161088,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",FL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.03E-06,3.40E-05,0.0010432,0.019444057,0.166849363,0.31090551,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",FL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.59E-09,9.71E-08,3.38E-06,8.43E-05,9.46E-04,0.001889354,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",FL,industry,industry,industry,0.556423,0.335766,0.294486,0.338377,0.368729,0.393087,0.414523,0.430825,0.440095,0.445024,0.459101,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",FL,municipal water,municipal water,municipal water,3.07322,3.77281,3.20109,3.30392,3.5925,3.83011,3.99322,4.10825,4.22168,4.32067,4.41373,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",GA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.61E-07,1.90E-05,5.85E-04,0.01078955,0.096003705,0.18132061,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",GA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.59E-09,6.41E-08,2.15E-06,4.96E-05,6.02E-04,0.001062832,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",GA,industry,industry,industry,0.907372,0.734391,0.672982,0.656901,0.69554,0.721941,0.751758,0.769391,0.778297,0.785001,0.808903,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",GA,municipal water,municipal water,municipal water,1.46834,1.79533,1.69966,1.62255,1.71863,1.7941,1.85403,1.89845,1.94229,1.97866,2.01234,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",HI,industry,industry,industry,0.0594885,0.0404096,0.00639646,3.32E-04,3.47E-04,3.44E-04,3.59E-04,3.80E-04,3.99E-04,4.14E-04,4.32E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",HI,municipal water,municipal water,municipal water,0.342508,0.377212,0.389438,0.379947,0.379023,0.381025,0.390429,0.401555,0.412786,0.423265,0.433452,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.96E-07,1.26E-05,3.54E-04,0.006559297,0.060898731,0.114270744,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.38E-09,7.67E-08,1.89E-06,4.61E-05,7.03E-04,0.001883461,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IA,industry,industry,industry,0.302816,0.261868,0.173064,0.397271,0.402295,0.400705,0.411019,0.41923,0.431506,0.44333,0.461121,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IA,municipal water,municipal water,municipal water,0.507793,0.597744,0.595783,0.583487,0.585381,0.597065,0.614345,0.629421,0.644988,0.658949,0.672032,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ID,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.18E-08,4.10E-07,1.32E-05,2.52E-04,0.00221633,0.004041056,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ID,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,3.71E-09,1.48E-07,4.01E-06,4.98E-05,1.22E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ID,industry,industry,industry,0.270475,0.0873262,0.0686894,0.0796173,0.0890549,0.095662,0.101515,0.105902,0.110057,0.113121,0.11741,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ID,municipal water,municipal water,municipal water,0.343558,0.460089,0.438786,0.477925,0.528769,0.574068,0.604519,0.623178,0.641501,0.657829,0.674082,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,6.13E-07,1.93E-05,5.75E-04,0.010926225,0.103360688,0.202649304,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,4.46E-09,1.26E-07,3.44E-06,8.03E-05,0.001074289,0.003039398,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IL,industry,industry,industry,0.641359,0.502613,0.539251,0.59512,0.594001,0.590415,0.608494,0.628936,0.654247,0.675596,0.707392,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IL,municipal water,municipal water,municipal water,2.72782,2.49017,2.20656,2.16584,2.15023,2.18852,2.26083,2.32995,2.40127,2.46725,2.53073,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IN,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.07E-06,3.32E-05,9.61E-04,0.018115294,0.168021047,0.323206354,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IN,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,4.88E-09,1.42E-07,3.67E-06,8.84E-05,0.001190583,0.003118978,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IN,industry,industry,industry,3.42977,3.04087,3.04876,3.15902,3.2124,3.2055,3.29235,3.3554,3.45862,3.55859,3.72149,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",IN,municipal water,municipal water,municipal water,0.997627,1.10457,1.07974,1.04345,1.06686,1.09809,1.13499,1.16503,1.19603,1.22396,1.25073,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KS,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.05E-07,1.33E-05,4.07E-04,0.007492762,0.064239638,0.115988632,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KS,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.96E-09,1.09E-07,3.70E-06,9.28E-05,0.001100625,0.002663263,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KS,industry,industry,industry,0.0738701,0.0578583,0.0556617,0.0526637,0.053299,0.0532324,0.0548011,0.0563742,0.0582501,0.0598238,0.0624522,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KS,municipal water,municipal water,municipal water,0.54964,0.576828,0.560982,0.50101,0.504732,0.513992,0.530048,0.544508,0.559161,0.572517,0.58507,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KY,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,6.47E-07,2.01E-05,5.83E-04,0.01100059,0.102031298,0.196267817,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KY,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.96E-09,8.59E-08,2.23E-06,5.37E-05,7.23E-04,0.00189397,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KY,industry,industry,industry,0.433039,0.257254,0.314601,0.310733,0.318647,0.319004,0.32896,0.336233,0.346434,0.354811,0.3688,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",KY,municipal water,municipal water,municipal water,0.666613,0.818567,0.836306,0.79428,0.800295,0.818137,0.846089,0.866075,0.888693,0.908097,0.927405,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",LA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,7.23E-07,2.46E-05,7.54E-04,0.013908728,0.123755426,0.233727913,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",LA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.05E-09,8.26E-08,2.77E-06,6.40E-05,7.76E-04,0.001365583,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",LA,industry,industry,industry,3.25986,4.29392,2.84322,2.96041,2.91469,2.91177,3.02046,3.1649,3.29232,3.36043,3.48369,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",LA,municipal water,municipal water,municipal water,0.923895,1.05415,1.09612,1.03374,1.01454,1.02244,1.05212,1.08194,1.1118,1.13916,1.1658,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.18E-09,1.78E-07,5.34E-06,1.05E-04,0.001032086,0.002039005,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,1.07E-09,3.17E-08,7.31E-07,9.17E-06,1.60E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MA,industry,industry,industry,0.120041,0.155131,0.0225741,0.0385031,0.0399937,0.0413332,0.0436065,0.0459287,0.0483057,0.0501313,0.0525258,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MA,municipal water,municipal water,municipal water,1.03743,1.15147,0.989255,0.943015,0.977004,1.02111,1.07056,1.11371,1.16189,1.20724,1.25091,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MD,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.48E-07,5.04E-06,1.57E-04,0.002917534,0.027541288,0.053366778,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MD,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,4.94E-10,1.86E-08,6.09E-07,1.28E-05,1.63E-04,2.62E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MD,industry,industry,industry,0.0968587,0.0824494,0.0690348,0.0683164,0.0694687,0.0705214,0.0736738,0.0777751,0.0812058,0.0831602,0.0859742,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MD,municipal water,municipal water,municipal water,1.19909,1.04385,1.20926,1.19286,1.21922,1.24681,1.28559,1.32409,1.36202,1.39493,1.42615,0,0,0,km^3
