final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,coal,0,1.73E-05,4.73E-05,1.34E-05,1.35E-05,1.32E-05,1.32E-05,1.26E-05,1.18E-05,1.12E-05,1.15E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,electricity,0,0.0011531,0.0018555,0.0032111,9.96E-04,6.89E-04,0.001204426,0.001182201,0.00131143,0.001565497,0.00195093,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,gas,0.2011929,0.2961326,0.2087604,0.2208806,0.219486862,0.215035933,0.21799881,0.22014134,0.223765841,0.227684741,0.23532272,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,hydrogen,0,0,0,0,3.58E-06,4.46E-07,2.76E-05,1.18E-04,2.74E-04,5.25E-04,0.001153102,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,refined liquids,0.0020014,0.0050382,0.00649041,0.0076162,0.005469078,0.005275956,0.005378495,0.006499458,0.007013479,0.006578911,0.007094471,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial feedstocks,refined liquids,0.00345271,0.0027463,0.0359166,0.0416755,0.0405291,0.0396207,0.0403275,0.0410123,0.0419072,0.0427277,0.0446229,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid clothes dryers,electricity,1.76E-04,3.80E-04,2.56E-04,2.07E-04,2.01E-04,1.97E-04,2.07E-04,2.12E-04,2.25E-04,2.39E-04,2.53E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid clothes dryers,gas,5.65E-05,1.20E-04,5.67E-05,4.69E-05,4.37E-05,4.17E-05,4.09E-05,3.91E-05,4.10E-05,4.29E-05,4.56E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid clothes washers,electricity,0,5.26E-05,4.10E-05,3.06E-05,2.53E-05,2.19E-05,1.92E-05,1.57E-05,1.69E-05,1.80E-05,1.90E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid computers,electricity,0,9.77E-05,1.69E-04,1.16E-04,9.66E-05,7.81E-05,6.60E-05,5.61E-05,4.69E-05,4.91E-05,5.11E-05,0,0,0,EJ
