"region","sector","Year","co2.emiss","scenario"
"MD","base load generation","1990",3.2529548,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ME","base load generation","1990",0.4260836,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MI","base load generation","1990",11.3215862,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MN","base load generation","1990",4.44883668,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","base load generation","1990",5.384503666,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","base load generation","1990",1.2043657,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MT","base load generation","1990",1.61986599,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NC","base load generation","1990",6.06691106,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ND","base load generation","1990",4.152765037108,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NE","base load generation","1990",2.00013677,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NH","base load generation","1990",0.9309295,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NJ","base load generation","1990",1.076537682,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","base load generation","1990",4.337349966,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NV","base load generation","1990",1.584876,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NY","base load generation","1990",7.983802,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OH","base load generation","1990",19.43064164,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OK","base load generation","1990",5.5811724,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OR","base load generation","1990",0.241749,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"PA","base load generation","1990",14.694832,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"RI","base load generation","1990",0.01770802,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SC","base load generation","1990",2.8497452,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SD","base load generation","1990",0.4494969354,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TN","base load generation","1990",6.147195173,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TX","base load generation","1990",32.19895911,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"UT","base load generation","1990",3.065177,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VA","base load generation","1990",2.9473603,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VT","base load generation","1990",0.01407387965,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WA","base load generation","1990",0.8286755,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WI","base load generation","1990",3.76433182,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WV","base load generation","1990",12.42587281511,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WY","base load generation","1990",6.49447889314,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AR","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"AZ","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CO","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"FL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"GA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"HI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ID","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KS","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"LA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ME","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NC","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ND","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NE","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NH","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NV","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OH","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OK","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"OR","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"PA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"RI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"SD","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"TX","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"UT","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"VA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"WI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
