CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,biomass (conv CCS) (seawater),biomass_int_conv_CCS,0,0,0,0,0,0,2.55E-05,2.57E-04,6.61E-04,0.001150453,0.001432297,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,coal (IGCC CCS) (dry cooling),coal_int_IGCC_CCS,0,0,0,0,0,0,1.67E-04,0.001038722,0.00221291,0.003668855,0.004754801,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,coal (IGCC CCS) (recirculating),coal_int_IGCC_CCS,0,0,0,0,0,0,1.77E-04,0.001108942,0.00236875,0.003933126,0.005109141,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,coal (IGCC CCS) (seawater),coal_int_IGCC_CCS,0,0,0,0,0,0,1.78E-04,0.00111514,0.002382214,0.003955797,0.005138892,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,coal (conv pul CCS) (dry cooling),coal_int_conv pul_CCS,0,0,0,0,0,0,1.95E-04,0.001160514,0.002407092,0.003908151,0.004980531,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,coal (conv pul CCS) (recirculating),coal_int_conv pul_CCS,0,0,0,0,0,0,2.09E-04,0.001248055,0.002595962,0.004218555,0.005391656,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,coal (conv pul CCS) (seawater),coal_int_conv pul_CCS,0,0,0,0,0,0,2.10E-04,0.001255092,0.00261072,0.004242705,0.005422744,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,intermediate generation,gas (CC CCS) (dry cooling),gas_int_CC_CCS,0,0,0,0,0,0,0.00178423,0.01039224,0.02167389,0.03536711,0.04579394,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,peak generation,gas (CC CCS) (dry cooling),gas_peak_CC_CCS,0,0,0,0,0,0,4.39E-07,2.05E-06,5.02E-06,9.11E-06,1.25E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AK,subpeak generation,gas (CC CCS) (dry cooling),gas_subpeak_CC_CCS,0,0,0,0,0,0,1.97E-05,1.01E-04,2.38E-04,4.21E-04,5.69E-04,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,hightemp DAC NG,dac,0,0,0,0,0,2.90E-05,8.89E-04,0.032261234,0.727768157,6.366274301,11.93615956,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,hightemp DAC elec,dac,0,0,0,0,0,8.45E-08,3.14E-06,1.20E-04,0.00326285,0.03858245,0.083258692,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,lowtemp DAC heatpump,dac,0,0,0,0,0,6.84E-08,4.84E-06,3.98E-04,0.023485191,0.558747304,2.293652224,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,biomass (IGCC CCS) (dry cooling),biomass_base_IGCC_CCS,0,0,0,0,0,5.04E-04,0.005181845,0.025105141,0.058026129,0.083443853,0.093246208,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,biomass (IGCC CCS) (recirculating),biomass_base_IGCC_CCS,0,0,0,0,0,5.21E-04,0.005306041,0.025327736,0.058372425,0.084359547,0.094691653,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,biomass (IGCC CCS) (seawater),biomass_base_IGCC_CCS,0,0,0,0,0,5.23E-04,0.005333212,0.025491507,0.058780296,0.084934719,0.095318821,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,biomass (conv CCS) (recirculating),biomass_base_conv_CCS,0,0,0,0,0,0.00274008,0.03460133,0.24495193,0.61942949,0.81377738,0.85572184,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,coal (IGCC CCS) (dry cooling),coal_base_IGCC_CCS,0,0,0,0,0,0.0126793,0.0656008,0.1296312,0.1902487,0.2557603,0.3143821,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,coal (IGCC CCS) (recirculating),coal_base_IGCC_CCS,0,0,0,0,0,0.0133233,0.0691733,0.1369961,0.2014608,0.2713418,0.3340059,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,coal (IGCC CCS) (seawater),coal_base_IGCC_CCS,0,0,0,0,0,0.0133969,0.0695567,0.1377624,0.2025965,0.2728786,0.3359099,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,coal (conv pul CCS) (dry cooling),coal_base_conv pul_CCS,0,0,0,0,0,0.0166257,0.0813569,0.1558533,0.2233695,0.2935814,0.3549785,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,coal (conv pul CCS) (recirculating),coal_base_conv pul_CCS,0,0,0,0,0,0.0176369,0.0864833,0.165927,0.2381953,0.3135259,0.3794963,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,coal (conv pul CCS) (seawater),coal_base_conv pul_CCS,0,0,0,0,0,0.017741,0.0869857,0.1668883,0.2395734,0.315333,0.3816844,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,base load generation,gas (CC CCS) (recirculating),gas_base_CC_CCS,0,0,0,0,0,0.0507963,0.3264923,0.6390448,0.9492975,1.3028651,1.6151129,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_luc2050,date=2022-28-9T22:14:52+20:00",AL,biomass liquids,FT biofuels CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0447296,0.2972739,0.2947769,0.3706626,0,0,0,MTC
