glu_id,Basin_long_name,state_id,state_nm,state_acr,glu_area,state_area,intersection_area,state_proportion,glu_proportion
224,Arkansas_White_Red_Basin,8,Colorado,CO,6.48E+11,2.70E+11,74241534547,0.275371974,0.114628817
231,Rio_Grande_River_Basin,8,Colorado,CO,6.25E+11,2.70E+11,18859023648,0.06995069,0.030175853
226,South_Atlantic_Gulf_Basin,45,South Carolina,SC,7.27E+11,82940537890,82516901252,0.994892285,0.11354
230,Tennessee_River_Basin,45,South Carolina,SC,1.07E+11,82940537890,63788054.13,0.000769082,0.000597166
224,Arkansas_White_Red_Basin,40,Oklahoma,OK,6.48E+11,1.81E+11,1.81E+11,1,0.279521835
219,Lower_Mississippi_River_Basin,47,Tennessee,TN,2.70E+11,1.09E+11,22154609874,0.202968664,0.082070647
226,South_Atlantic_Gulf_Basin,47,Tennessee,TN,7.27E+11,1.09E+11,271784038.1,0.00248994,0.000373964
228,Ohio_River_Basin,47,Tennessee,TN,4.23E+11,1.09E+11,28388235381,0.260077801,0.067179897
230,Tennessee_River_Basin,47,Tennessee,TN,1.07E+11,1.09E+11,58338229045,0.534463595,0.546145938
220,Upper_Colorado_River_Basin,56,Wyoming,WY,2.93E+11,2.53E+11,53981262215,0.213089894,0.184204064
222,Great_Basin,56,Wyoming,WY,3.67E+11,2.53E+11,3988625454,0.015745015,0.010868997
223,Missouri_River_Basin,56,Wyoming,WY,1.36E+12,2.53E+11,1.82E+11,0.718581378,0.134335779
229,Pacific_Northwest_Basin,56,Wyoming,WY,8.28E+11,2.53E+11,13320988588,0.052584321,0.016080429
234,Hawaii,15,Hawaii,HI,27811124256,28411802603,24114674970,1,0.867087384
23,Saskatchewan_Nelson,38,North Dakota,ND,1.14E+12,1.83E+11,75172913995,0.410540882,0.066109167
223,Missouri_River_Basin,38,North Dakota,ND,1.36E+12,1.83E+11,1.08E+11,0.589459118,0.079651548
218,Upper_Mississippi_Basin,21,Kentucky,KY,4.92E+11,1.05E+11,12498.96166,1.19E-07,2.54E-08
219,Lower_Mississippi_River_Basin,21,Kentucky,KY,2.70E+11,1.05E+11,3720488586,0.035550087,0.013782364
228,Ohio_River_Basin,21,Kentucky,KY,4.23E+11,1.05E+11,98065402906,0.937036513,0.232068799
230,Tennessee_River_Basin,21,Kentucky,KY,1.07E+11,1.05E+11,2869173113,0.027415581,0.026860384
101,Caribbean,78,United States Virgin Islands,,3.12E+11,1898258137,664212943.5,1,1
121,North_Marina_Islands_and_Guam,69,Commonwealth of the Northern Mariana Islands,,2489506620,5116545049,791146629.6,1,0.317792539
121,North_Marina_Islands_and_Guam,66,Guam,,2489506620,1477893468,1341935658,0.908005677,0.53903679
227,Great_Lakes_Basin,23,Maine,ME,1.06E+12,91633386273,355743424.4,0.003882247,0.000336523
232,New_England_Basin,23,Maine,ME,2.06E+11,91633386273,87099176618,0.95051793,0.422182091
227,Great_Lakes_Basin,36,New York,NY,1.06E+12,1.41E+11,71238821656,0.504180904,0.067389964
228,Ohio_River_Basin,36,New York,NY,4.23E+11,1.41E+11,5325340176,0.037689209,0.012602256
232,New_England_Basin,36,New York,NY,2.06E+11,1.41E+11,424015883.7,0.003000902,0.002055265
233,Mid_Atlantic_Basin,36,New York,NY,2.70E+11,1.41E+11,62869675003,0.444949661,0.233080589
217,California_River_Basin,32,Nevada,NV,4.35E+11,2.86E+11,10616211827,0.03707079,0.024395893
221,Lower_Colorado_River_Basin,32,Nevada,NV,4.18E+11,2.86E+11,31598591476,0.110339241,0.075511628
222,Great_Basin,32,Nevada,NV,3.67E+11,2.86E+11,2.30E+11,0.803328479,0.626898332
229,Pacific_Northwest_Basin,32,Nevada,NV,8.28E+11,2.86E+11,14107344627,0.04926149,0.017029679
7,Pacific_and_Arctic_Coast,2,Alaska,AK,2.36E+12,1.72E+12,1.63E+12,0.947202374,0.690680954
185,South_Pacific_Islands,60,American Samoa,,1.09E+11,1505002933,362108033.2,1,0.003320877
218,Upper_Mississippi_Basin,26,Michigan,MI,4.92E+11,2.50E+11,233076774,0.000930495,0.000474076
227,Great_Lakes_Basin,26,Michigan,MI,1.06E+12,2.50E+11,2.50E+11,0.999069505,0.236733151
219,Lower_Mississippi_River_Basin,5,Arkansas,AR,2.70E+11,1.38E+11,67451615159,0.489727393,0.249871144
224,Arkansas_White_Red_Basin,5,Arkansas,AR,6.48E+11,1.38E+11,70281368703,0.510272607,0.108514327
219,Lower_Mississippi_River_Basin,28,Mississippi,MS,2.70E+11,1.25E+11,60320673461,0.480794313,0.223454926
226,South_Atlantic_Gulf_Basin,28,Mississippi,MS,7.27E+11,1.25E+11,63244003928,0.504095125,0.087021254
230,Tennessee_River_Basin,28,Mississippi,MS,1.07E+11,1.25E+11,880757902.9,0.007020203,0.008245405
218,Upper_Mississippi_Basin,29,Missouri,MO,4.92E+11,1.81E+11,36609396963,0.202778142,0.074463206
219,Lower_Mississippi_River_Basin,29,Missouri,MO,2.70E+11,1.81E+11,12812389668,0.070967369,0.047462858
223,Missouri_River_Basin,29,Missouri,MO,1.36E+12,1.81E+11,95814004442,0.530710347,0.070707348
224,Arkansas_White_Red_Basin,29,Missouri,MO,6.48E+11,1.81E+11,35285327148,0.195444166,0.054480492
228,Ohio_River_Basin,29,Missouri,MO,4.23E+11,1.81E+11,17305803.51,9.59E-05,4.10E-05
23,Saskatchewan_Nelson,30,Montana,MT,1.14E+12,3.81E+11,1574730579,0.004134932,0.001384862
223,Missouri_River_Basin,30,Montana,MT,1.36E+12,3.81E+11,3.14E+11,0.825169513,0.231908472
229,Pacific_Northwest_Basin,30,Montana,MT,8.28E+11,3.81E+11,65006666646,0.170694691,0.078472788
223,Missouri_River_Basin,20,Kansas,KS,1.36E+12,2.13E+11,1.03E+11,0.484981182,0.076268089
224,Arkansas_White_Red_Basin,20,Kansas,KS,6.48E+11,2.13E+11,1.10E+11,0.515018818,0.16945422
218,Upper_Mississippi_Basin,18,Indiana,IN,4.92E+11,94327303243,7728717190,0.081935102,0.015720146
227,Great_Lakes_Basin,18,Indiana,IN,1.06E+12,94327303243,9646334442,0.102264499,0.009125167
228,Ohio_River_Basin,18,Indiana,IN,4.23E+11,94327303243,76952741976,0.815805597,0.182106328
101,Caribbean,72,Puerto Rico,,3.12E+11,13791279349,12122994761,1,0.038827107
23,Saskatchewan_Nelson,46,South Dakota,SD,1.14E+12,2.00E+11,1109392241,0.005554469,0.000975631
218,Upper_Mississippi_Basin,46,South Dakota,SD,4.92E+11,2.00E+11,4025449910,0.020154491,0.008187731
223,Missouri_River_Basin,46,South Dakota,SD,1.36E+12,2.00E+11,1.95E+11,0.974291369,0.143604153
232,New_England_Basin,25,Massachusetts,MA,2.06E+11,27335051875,24083877796,0.881062085,0.116737979
233,Mid_Atlantic_Basin,25,Massachusetts,MA,2.70E+11,27335051875,593969795.8,0.021729236,0.002202061
226,South_Atlantic_Gulf_Basin,51,Virginia,VA,7.27E+11,1.11E+11,28916418680,0.261010886,0.039787851
228,Ohio_River_Basin,51,Virginia,VA,4.23E+11,1.11E+11,10541374074,0.095150558,0.024945842
230,Tennessee_River_Basin,51,Virginia,VA,1.07E+11,1.11E+11,8123573363,0.073326545,0.076050588
233,Mid_Atlantic_Basin,51,Virginia,VA,2.70E+11,1.11E+11,60794936059,0.548758831,0.225388783
233,Mid_Atlantic_Basin,11,District of Columbia,DC,2.70E+11,177027562.6,177027562.5,0.999999999,0.000656305
218,Upper_Mississippi_Basin,19,Iowa,IA,4.92E+11,1.46E+11,99543721371,0.6829971,0.202471093
223,Missouri_River_Basin,19,Iowa,IA,1.36E+12,1.46E+11,46201731076,0.3170029,0.034095244
96,Mexico_Northwest_Coast,4,Arizona,AZ,3.60E+11,2.95E+11,4366546110,0.014790827,0.01214613
220,Upper_Colorado_River_Basin,4,Arizona,AZ,2.93E+11,2.95E+11,16726585182,0.05665806,0.057077305
221,Lower_Colorado_River_Basin,4,Arizona,AZ,4.18E+11,2.95E+11,2.74E+11,0.929044939,0.655433171
