"region","sector","Year","co2.emiss","scenario"
"MA","base load generation","1990",3.01978739,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MD","base load generation","1990",3.2529548,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ME","base load generation","1990",0.4260836,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MI","base load generation","1990",11.3215862,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MN","base load generation","1990",4.44883668,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","base load generation","1990",5.384503666,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","base load generation","1990",1.2043657,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MT","base load generation","1990",1.61986599,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NC","base load generation","1990",6.06691106,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ND","base load generation","1990",4.152765037108,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NE","base load generation","1990",2.00013677,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NH","base load generation","1990",0.9309295,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NJ","base load generation","1990",1.076537682,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NM","base load generation","1990",4.337349966,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NV","base load generation","1990",1.584876,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NY","base load generation","1990",7.983802,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OH","base load generation","1990",19.43064164,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OK","base load generation","1990",5.5811724,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OR","base load generation","1990",0.241749,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"PA","base load generation","1990",14.694832,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"RI","base load generation","1990",0.01770802,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SC","base load generation","1990",2.8497452,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SD","base load generation","1990",0.4494969354,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TN","base load generation","1990",6.147195173,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TX","base load generation","1990",32.19895911,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"UT","base load generation","1990",3.065177,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VA","base load generation","1990",2.9473603,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VT","base load generation","1990",0.01407387965,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WA","base load generation","1990",0.8286755,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WI","base load generation","1990",3.76433182,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WV","base load generation","1990",12.42587281511,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WY","base load generation","1990",6.49447889314,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AR","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AZ","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CO","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"FL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"GA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"HI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ID","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IL","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KS","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"LA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ME","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NC","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ND","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NE","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NH","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NM","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NV","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OH","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OK","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OR","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"PA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"RI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SD","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TN","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TX","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"UT","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WA","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WI","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WY","biomass liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AL","cement","1990",0.245891,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AR","cement","1990",0.0783017,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AZ","cement","1990",0.35523,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CA","cement","1990",1.1583,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CO","cement","1990",0.215744,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CT","cement","1990",0.0766575,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"FL","cement","1990",0.701497,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"GA","cement","1990",0.307418,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IA","cement","1990",0.156345,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ID","cement","1990",0.0567759,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IL","cement","1990",0.391098,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IN","cement","1990",0.215089,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KS","cement","1990",0.125452,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KY","cement","1990",0.0998713,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"LA","cement","1990",0.116218,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MA","cement","1990",0.0881206,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MD","cement","1990",0.159062,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MI","cement","1990",0.227933,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MN","cement","1990",0.168441,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","cement","1990",0.247148,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","cement","1990",0.0937435,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NC","cement","1990",0.252481,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NE","cement","1990",0.0685495,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NJ","cement","1990",0.209547,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NM","cement","1990",0.0607366,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NV","cement","1990",0.163772,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NY","cement","1990",0.319623,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OH","cement","1990",0.293729,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OK","cement","1990",0.135008,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OR","cement","1990",0.0978202,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"PA","cement","1990",0.474541,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SC","cement","1990",0.225082,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SD","cement","1990",0.0421617,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TN","cement","1990",0.211325,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TX","cement","1990",1.08227,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"UT","cement","1990",0.102437,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VA","cement","1990",0.260444,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WA","cement","1990",0.206666,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WI","cement","1990",0.160893,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WV","cement","1990",0.0585828,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AL","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AR","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AZ","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CO","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IL","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IN","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KY","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"LA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MD","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MT","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ND","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NM","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OH","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OK","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"PA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TN","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TX","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"UT","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VA","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WV","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WY","coal to liquids","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AK","comm cooking","1990",0.01100921,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AL","comm cooking","1990",0.01954782,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AR","comm cooking","1990",0.01391071,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AZ","comm cooking","1990",0.0269296,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CA","comm cooking","1990",0.442681,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CO","comm cooking","1990",0.0341376,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CT","comm cooking","1990",0.02489776,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"DC","comm cooking","1990",0.01015574,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"DE","comm cooking","1990",0.00290743,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"FL","comm cooking","1990",0.0717606,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"GA","comm cooking","1990",0.0512505,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"HI","comm cooking","1990",0.00713031,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IA","comm cooking","1990",0.0317925,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ID","comm cooking","1990",0.00461887,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IL","comm cooking","1990",0.1646531,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IN","comm cooking","1990",0.0593779,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KS","comm cooking","1990",0.0492077,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KY","comm cooking","1990",0.01788696,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"LA","comm cooking","1990",0.0255223,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MA","comm cooking","1990",0.039594,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MD","comm cooking","1990",0.01786928,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ME","comm cooking","1990",0.00099526,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MI","comm cooking","1990",0.1233404,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MN","comm cooking","1990",0.0486628,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","comm cooking","1990",0.0543165,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","comm cooking","1990",0.01497932,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MT","comm cooking","1990",0.0059528,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NC","comm cooking","1990",0.0284072,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ND","comm cooking","1990",0.00601099,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NE","comm cooking","1990",0.0262483,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NH","comm cooking","1990",0.00327626,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NJ","comm cooking","1990",0.1549294,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NM","comm cooking","1990",0.01574354,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NV","comm cooking","1990",0.010998,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NY","comm cooking","1990",0.237072,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OH","comm cooking","1990",0.1264433,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OK","comm cooking","1990",0.01917871,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"OR","comm cooking","1990",0.02039236,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"PA","comm cooking","1990",0.1566368,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"RI","comm cooking","1990",0.00659105,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SC","comm cooking","1990",0.01642937,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"SD","comm cooking","1990",0.00561729,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TN","comm cooking","1990",0.027236,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"TX","comm cooking","1990",0.1403327,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"UT","comm cooking","1990",0.00915213,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VA","comm cooking","1990",0.0328843,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"VT","comm cooking","1990",0.001083563,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WA","comm cooking","1990",0.0400803,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WI","comm cooking","1990",0.04473,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WV","comm cooking","1990",0.01461346,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"WY","comm cooking","1990",0.0043882,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AK","comm cooling","1990",1.8465e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AL","comm cooling","1990",2.556e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AR","comm cooling","1990",0.000153362,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"AZ","comm cooling","1990",2.698e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CA","comm cooling","1990",0.0175129,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CO","comm cooling","1990",4.26002e-06,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"CT","comm cooling","1990",0.00317228,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"DC","comm cooling","1990",0.00119848,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"DE","comm cooling","1990",0.000222941,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"FL","comm cooling","1990",0.0184628,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"GA","comm cooling","1990",0.00771201,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"HI","comm cooling","1990",9.37199e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IA","comm cooling","1990",0.000140581,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ID","comm cooling","1990",1.42001e-06,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IL","comm cooling","1990",0.00740814,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"IN","comm cooling","1990",0.00258155,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KS","comm cooling","1990",0.00038908,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"KY","comm cooling","1990",1.278e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"LA","comm cooling","1990",0.0003408,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MA","comm cooling","1990",0.00473002,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MD","comm cooling","1990",0.00158046,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ME","comm cooling","1990",6.10615e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MI","comm cooling","1990",0.00341084,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MN","comm cooling","1990",0.000133479,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MO","comm cooling","1990",0.000379141,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MS","comm cooling","1990",1.988e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"MT","comm cooling","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NC","comm cooling","1990",0.00326032,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"ND","comm cooling","1990",1.42003e-05,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NE","comm cooling","1990",0.000139161,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
"NH","comm cooling","1990",0.000299626,"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS"
