final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industrial energy use,coal,0,1.73E-05,4.73E-05,1.34E-05,1.35E-05,1.32E-05,1.31E-05,1.23E-05,1.14E-05,1.05E-05,1.07E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industrial energy use,electricity,0,0.0011531,0.0018555,0.0032111,9.96E-04,8.46E-04,0.001296043,0.001292335,0.001453148,0.001742108,0.002191307,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industrial energy use,gas,0.2011929,0.2961326,0.2087604,0.2208806,0.219486862,0.214279566,0.217138526,0.218466006,0.221538144,0.224340957,0.230509566,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industrial energy use,hydrogen,0,0,0,0,3.58E-06,5.82E-07,2.89E-05,1.89E-04,5.70E-04,0.001346972,0.002994498,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industrial energy use,refined liquids,0.0020014,0.0050382,0.00649041,0.0076162,0.005469078,0.005250734,0.005322406,0.006398143,0.007062039,0.007077172,0.007090488,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,industrial feedstocks,refined liquids,0.00345271,0.0027463,0.0359166,0.0416755,0.0405291,0.0395191,0.0401793,0.0407196,0.041583,0.0423705,0.0440232,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid clothes dryers,electricity,1.76E-04,3.80E-04,2.56E-04,2.07E-04,2.01E-04,1.98E-04,2.07E-04,2.13E-04,2.26E-04,2.39E-04,2.53E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid clothes dryers,gas,5.65E-05,1.20E-04,5.67E-05,4.69E-05,4.37E-05,4.14E-05,4.03E-05,3.80E-05,3.96E-05,4.12E-05,4.34E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid clothes washers,electricity,0,5.26E-05,4.10E-05,3.06E-05,2.53E-05,2.19E-05,1.92E-05,1.57E-05,1.69E-05,1.80E-05,1.90E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid computers,electricity,0,9.77E-05,1.69E-04,1.16E-04,9.66E-05,7.82E-05,6.60E-05,5.61E-05,4.69E-05,4.91E-05,5.11E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid cooking,electricity,1.03E-04,1.53E-04,1.36E-04,1.10E-04,1.18E-04,1.33E-04,1.62E-04,1.87E-04,2.10E-04,2.20E-04,2.30E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid cooking,gas,1.92E-04,3.61E-04,2.45E-04,1.97E-04,1.84E-04,1.75E-04,1.65E-04,1.56E-04,1.45E-04,1.48E-04,1.54E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid cooking,refined liquids,1.78E-05,4.59E-05,2.22E-04,1.37E-04,1.27E-04,1.20E-04,1.12E-04,1.13E-04,1.17E-04,1.26E-04,1.30E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid cooling,electricity,6.70E-06,4.85E-05,3.33E-05,3.62E-05,3.62E-05,3.59E-05,3.76E-05,3.93E-05,4.11E-05,4.34E-05,4.57E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid dishwashers,electricity,0,1.44E-04,1.27E-04,9.96E-05,9.62E-05,9.36E-05,9.39E-05,9.45E-05,9.48E-05,9.98E-05,1.05E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid freezers,electricity,1.45E-04,1.26E-04,1.01E-04,8.10E-05,7.94E-05,8.06E-05,8.48E-05,8.94E-05,9.39E-05,9.82E-05,1.02E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid furnace fans,electricity,0,8.86E-05,1.59E-04,1.15E-04,1.01E-04,9.14E-05,8.75E-05,8.48E-05,8.21E-05,8.60E-05,8.96E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid heating,biomass,0.0012773,9.95E-04,0.00217551,0.0048165,0.004437979,0.004219676,0.004010096,0.003751505,0.00323957,0.002599791,0.001985726,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid heating,coal,0.00406609,5.34E-04,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid heating,electricity,0.002896899,0.001800301,0.002425812,0.0029621,0.003341493,0.003550931,0.004138061,0.004840474,0.005582595,0.006376951,0.007058682,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid heating,gas,0.011049199,0.014248801,0.014673801,0.0136417,0.012382002,0.011493972,0.01035295,0.008959937,0.007529629,0.006327097,0.005543043,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid heating,refined liquids,0.008147679,0.008013221,0.006729521,0.0039496,0.00354814,0.003266699,0.002877838,0.00241358,0.001911168,0.001418983,9.85E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AK,resid hot water,electricity,8.62E-04,0.00125002,0.00120864,0.00149778,0.00172139,0.001907791,0.002212614,0.00243585,0.002424578,0.002438671,0.002473768,0,0,0,EJ
