final energy consumption by sector and fuel,,,,,,,,,,,,,,,,,,
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,coal,0,1.73E-05,4.73E-05,1.34E-05,1.35E-05,1.32E-05,1.31E-05,1.23E-05,1.13E-05,1.03E-05,1.05E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,electricity,0,0.0011531,0.0018555,0.0032111,9.96E-04,8.32E-04,0.00129285,0.001276451,0.001446424,0.001750457,0.00221985,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,gas,0.2011929,0.2961326,0.2087604,0.2208806,0.219486862,0.214697069,0.217705737,0.21873591,0.221274601,0.223837792,0.230083482,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,hydrogen,0,0,0,0,3.58E-06,5.60E-07,3.27E-05,1.79E-04,5.50E-04,0.001335493,0.003026933,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial energy use,refined liquids,0.0020014,0.0050382,0.00649041,0.0076162,0.005469078,0.00526709,0.00528375,0.006237798,0.006860862,0.0066228,0.006793781,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,industrial feedstocks,refined liquids,0.00345271,0.0027463,0.0359166,0.0416755,0.0405291,0.0395936,0.040276,0.0407305,0.0414868,0.0421811,0.0438916,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid clothes dryers,electricity,1.76E-04,3.80E-04,2.56E-04,2.07E-04,2.01E-04,1.98E-04,2.08E-04,2.13E-04,2.26E-04,2.39E-04,2.53E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid clothes dryers,gas,5.65E-05,1.20E-04,5.67E-05,4.69E-05,4.37E-05,4.15E-05,4.05E-05,3.82E-05,3.97E-05,4.11E-05,4.32E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid clothes washers,electricity,0,5.26E-05,4.10E-05,3.06E-05,2.53E-05,2.19E-05,1.92E-05,1.57E-05,1.69E-05,1.80E-05,1.90E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid computers,electricity,0,9.77E-05,1.69E-04,1.16E-04,9.66E-05,7.82E-05,6.60E-05,5.61E-05,4.69E-05,4.91E-05,5.11E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid cooking,electricity,1.03E-04,1.53E-04,1.36E-04,1.10E-04,1.18E-04,1.33E-04,1.62E-04,1.87E-04,2.11E-04,2.22E-04,2.33E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid cooking,gas,1.92E-04,3.61E-04,2.45E-04,1.97E-04,1.84E-04,1.75E-04,1.66E-04,1.57E-04,1.46E-04,1.49E-04,1.55E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid cooking,refined liquids,1.78E-05,4.59E-05,2.22E-04,1.37E-04,1.27E-04,1.20E-04,1.12E-04,1.12E-04,1.15E-04,1.21E-04,1.25E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid cooling,electricity,6.70E-06,4.85E-05,3.33E-05,3.62E-05,3.62E-05,3.59E-05,3.76E-05,3.93E-05,4.11E-05,4.34E-05,4.57E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid dishwashers,electricity,0,1.44E-04,1.27E-04,9.96E-05,9.62E-05,9.36E-05,9.39E-05,9.45E-05,9.48E-05,9.98E-05,1.05E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid freezers,electricity,1.45E-04,1.26E-04,1.01E-04,8.10E-05,7.94E-05,8.06E-05,8.48E-05,8.94E-05,9.39E-05,9.82E-05,1.02E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid furnace fans,electricity,0,8.86E-05,1.59E-04,1.15E-04,1.01E-04,9.14E-05,8.75E-05,8.48E-05,8.21E-05,8.60E-05,8.96E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid heating,biomass,0.0012773,9.95E-04,0.00217551,0.0048165,0.004437979,0.004218022,0.00399846,0.003721998,0.003168403,0.002493495,0.001863213,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid heating,coal,0.00406609,5.34E-04,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid heating,electricity,0.002896899,0.001800301,0.002425812,0.0029621,0.003341493,0.003551229,0.00413695,0.004840689,0.005589181,0.006393735,0.007081865,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid heating,gas,0.011049199,0.014248801,0.014673801,0.0136417,0.012382002,0.011499799,0.010370199,0.008983368,0.00754822,0.006336186,0.005540138,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid heating,refined liquids,0.008147679,0.008013221,0.006729521,0.0039496,0.00354814,0.003267509,0.002878429,0.002408874,0.001900157,0.001400806,9.67E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid hot water,electricity,8.62E-04,0.00125002,0.00120864,0.00149778,0.00172139,0.001906367,0.002209688,0.002434803,0.002425408,0.002442441,0.002478392,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid hot water,gas,0.001379522,0.002374244,0.002533777,0.003328756,0.002962816,0.002813455,0.002695615,0.002491221,0.002604032,0.0026796,0.002801596,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid hot water,refined liquids,2.24E-05,5.00E-04,8.70E-04,6.75E-04,5.73E-04,5.11E-04,4.36E-04,3.23E-04,3.17E-04,2.78E-04,2.22E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid lighting,electricity,6.41E-04,0.001092289,8.56E-04,5.04E-04,3.29E-04,1.19E-04,1.07E-04,1.07E-04,1.11E-04,1.16E-04,1.20E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid other,electricity,4.65E-04,0.0015175,0.0014142,0.0011592,0.00126952,0.00128255,0.00137937,0.00141907,0.00147198,0.00155525,0.00161598,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid other,gas,5.65E-05,0,2.86E-04,2.25E-04,1.63E-04,1.72E-04,1.73E-04,1.96E-04,2.14E-04,2.23E-04,2.37E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid other,refined liquids,5.35E-05,2.22E-04,3.47E-04,2.43E-04,1.67E-04,1.75E-04,1.74E-04,2.13E-04,2.42E-04,2.39E-04,2.45E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid refrigerators,electricity,4.86E-04,5.92E-04,4.85E-04,3.81E-04,3.71E-04,3.74E-04,3.91E-04,4.09E-04,4.26E-04,4.46E-04,4.63E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,resid televisions,electricity,1.96E-04,4.49E-04,4.34E-04,3.33E-04,2.93E-04,2.77E-04,2.94E-04,3.12E-04,3.29E-04,3.46E-04,3.60E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_aviation_intl,refined liquids,0.020841,0.0383762,0.0268151,0.0214621,0.0198659,0.0189855,0.0189744,0.019168,0.0195997,0.0197379,0.0202548,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_freight,refined liquids,0.003661113,0.003556909,0.003525518,0.00266077,0.00255882,0.00254794,0.0026871,0.00279344,0.00289256,0.00296129,0.00309179,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_freight_road,electricity,0,0,0,0,6.90E-06,2.71E-04,0.001565507,0.003435617,0.004636676,0.006301099,0.008329164,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_freight_road,gas,0,0,0,0,2.85E-04,7.37E-04,0.001293283,0.001880115,0.00191712,0.001947482,0.002117165,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_freight_road,refined liquids,0.05335304,0.05363972,0.05285395,0.04029216,0.03819214,0.035220904,0.030145438,0.023926517,0.021941631,0.018684638,0.015847299,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass,electricity,0,0,0,0,8.51E-07,1.69E-06,2.70E-06,3.75E-06,5.30E-06,7.30E-06,9.84E-06,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass,refined liquids,0.079783191,0.14678509,0.102608891,0.082120094,0.07747515,0.0730355,0.072685526,0.074014771,0.075450241,0.074871443,0.077380537,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road,electricity,0,0,0,0,3.69E-05,1.95E-04,3.07E-04,3.63E-04,3.52E-04,3.38E-04,3.26E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road,gas,0,9.53E-05,1.28E-04,3.25E-05,1.25E-04,1.45E-04,1.42E-04,1.25E-04,1.30E-04,1.45E-04,1.63E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road,refined liquids,0.00204595,0.00205694,0.00202676,0.00154511,0.002092254,0.001808552,0.001023065,5.69E-04,4.61E-04,4.25E-04,3.99E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road_LDV,electricity,0,0,0,0,9.32E-06,2.30E-05,2.89E-05,3.16E-05,3.47E-05,3.89E-05,4.28E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road_LDV,refined liquids,8.42E-05,1.02E-04,9.96E-05,1.01E-04,6.78E-05,2.85E-05,1.83E-05,1.94E-05,2.06E-05,2.13E-05,2.25E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road_LDV_4W,electricity,0,0,0,0,9.42E-05,8.49E-04,0.002188672,0.003054509,0.003662845,0.003818249,0.003866117,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road_LDV_4W,gas,0,0,0,0,6.51E-05,1.33E-04,1.71E-04,1.94E-04,2.09E-04,2.10E-04,2.30E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road_LDV_4W,hydrogen,0,0,0,0,0,1.83E-07,7.78E-07,1.94E-06,4.02E-06,7.05E-06,1.19E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_pass_road_LDV_4W,refined liquids,0.023913097,0.029089497,0.028296497,0.028628397,0.025795694,0.020743372,0.013732861,0.008695873,0.004901772,0.003980378,0.003513247,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AK,trn_shipping_intl,refined liquids,0.00119608,1.37E-04,3.79E-04,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,electricity,0,0,0,0,0,1.45E-08,4.61E-07,2.56E-05,7.84E-04,0.013831762,0.036254888,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,CO2 removal,process heat dac,0,0,0,0,0,6.28E-08,1.94E-06,1.04E-04,0.002911426,0.043023441,0.089268385,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,cement,electricity,0.00108997,0.00149853,9.63E-04,9.63E-04,0.00105508,9.18E-04,9.26E-04,9.47E-04,9.98E-04,0.001035815,0.001107431,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm cooking,electricity,5.63E-04,8.35E-04,0.001757459,5.78E-04,6.70E-04,7.63E-04,9.53E-04,0.001155844,0.001374774,0.001624604,0.001793346,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm cooking,gas,0.001376605,0.002497933,0.0046597,0.002432786,0.002428846,0.002354775,0.002224603,0.001977752,0.001775903,0.001547416,0.001515487,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm cooling,electricity,0.008943989,0.0131756,0.0146111,0.013948,0.014312019,0.014263519,0.014225837,0.013999335,0.013881229,0.013708419,0.014075944,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm cooling,gas,1.80E-06,1.06E-04,6.17E-05,5.28E-05,5.30E-05,5.28E-05,5.23E-05,5.07E-05,4.93E-05,4.68E-05,4.74E-05,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm heating,biomass,0.0013881,7.96E-04,8.78E-04,2.54E-04,2.55E-04,2.68E-04,2.90E-04,3.04E-04,2.78E-04,2.03E-04,1.57E-04,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm heating,coal,0.00536679,3.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,EJ
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",AL,comm heating,electricity,0.001094599,0.002387789,0.0015884,0.002426601,0.002723845,0.002934007,0.00334384,0.003860721,0.004467826,0.00543427,0.005834016,0,0,0,EJ
