water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",CT,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,0,0,4.83E-09,1.57E-07,2.86E-06,4.36E-06,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",CT,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,0,1.98E-10,6.28E-09,1.34E-07,2.73E-07,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",CT,industry,industry,industry,0.110715,0.0933496,0.0918162,0.249642,0.246923,0.249073,0.259936,0.271421,0.283659,0.29322,0.306326,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",CT,municipal water,municipal water,municipal water,0.580517,0.750652,0.680277,0.374062,0.367455,0.372925,0.387287,0.402222,0.419016,0.434613,0.449697,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",DC,industry,industry,industry,6.91E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",DE,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.84E-09,9.35E-08,5.39E-06,1.63E-04,0.002706656,0.005970947,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",DE,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,6.18E-10,3.14E-08,9.37E-07,1.92E-05,3.84E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",DE,industry,industry,industry,0.0897577,0.0571261,0.132571,0.416696,0.421881,0.427174,0.442208,0.453512,0.467292,0.47803,0.49675,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",DE,municipal water,municipal water,municipal water,0.132184,0.141841,0.128316,0.139368,0.139287,0.142174,0.146483,0.150476,0.154405,0.157854,0.161091,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",FL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.07E-07,3.39E-06,1.89E-04,0.005755018,0.09072791,0.196657937,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",FL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,4.92E-10,1.64E-08,8.18E-07,2.85E-05,5.70E-04,0.001184205,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",FL,industry,industry,industry,0.556423,0.335766,0.294486,0.338377,0.368729,0.393269,0.414153,0.430223,0.435991,0.43813,0.451246,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",FL,municipal water,municipal water,municipal water,3.07322,3.77281,3.20109,3.30392,3.5925,3.83006,3.9931,4.10823,4.22167,4.32076,4.41381,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",GA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.79E-08,1.25E-06,7.12E-05,0.002147273,0.034211157,0.074532032,0,0,0,km^3
